nl Word	English verb	P(w->t)	P(w->a)	P(a->t)	E(t)	E(a)	V(t)	V(a)	S(t)	S(a)
Bové	sketch	0	0	0	1	1	1	1	0	1
verslag-Balzani	report	0	0	-1	1	0	0	1	0	-1
softpower	power	1	0	0	0	0	0	1	0	1
niet-bureaucratische	function	0	1	0	1	1	1	1	0	0
WORLD-programma	enable	1	1	0	1	1	1	1	1	0
inefficiënties	do	1	1	1	0	0	1	1	0	1
voedselprogramma	aid	1	1	1	1	0	1	1	1	1
stoffige	major	0	1	0	0	1	1	1	0	1
hervormen	reform	1	1	0	1	0	1	1	0	1
hypocrieten	be	0	1	0	0	0	0	1	0	1
heterogeniteit	comment	0	0	0	0	0	1	1	0	1
Aérospatiale	stress	0	0	1	1	0	1	1	0	0
beoordelingsverslagen	report	0	0	-1	1	0	0	1	0	-1
Barcelonaproces	process	0	0	1	1	1	1	1	0	0
beperkingsmaatregelen	measure	0	1	0	0	0	0	1	0	1
aanstokers	direct	0	0	1	1	0	1	1	0	1
wachtrijen	prevent	0	0	0	-1	0	1	1	-1	0
verminking	practice	0	0	1	1	0	0	1	0	0
hervormer	reform	1	1	0	1	0	1	1	0	1
inwoneraantal	term	1	1	0	1	1	1	0	0	0
utopisten	be	0	1	0	0	0	0	1	0	1
zelfreguleringsmaatregelen	measure	0	1	0	0	0	0	1	0	1
gesponsorde	sponsor	1	1	1	1	1	1	1	0	1
recordoogsten	record	1	1	1	1	1	1	1	0	1
Sudbury	demand	0	0	1	1	0	1	1	0	1
droeg	have	1	1	1	0	0	1	1	0	1
droef	be	0	1	0	0	0	0	1	0	1
states	state	0	1	1	1	0	1	1	0	0
collegaʼs	intend	0	0	0	1	0	1	1	0	1
vangstcapaciteit	catch	0	1	0	0	1	1	1	0	1
EBWO	consider	1	1	1	1	1	1	1	0	1
bestemmeling	be	0	1	0	0	0	0	1	0	1
aanverwant	relate	0	1	1	1	0	1	1	0	1
halveerde	halve	0	0	0	-1	1	1	1	0	0
Turkscyprioten	exhaust	0	0	0	-1	-1	1	1	0	-1
EU"topniveaudomein	shine	1	1	1	1	1	1	1	0	1
Zuid-Oost-Europa	bring	0	0	1	1	0	0	1	0	0
dromen	dream	0	1	0	0	0	0	1	0	1
samenvattingen	want	1	0	1	0	0	1	1	0	1
Baskische	give	0	1	1	0	0	0	1	0	1
trekpleisters	offer	1	1	1	1	1	1	1	0	1
weigering	refuse	0	0	-1	-1	0	1	1	-1	0
ENPI-verordening	accord	1	0	0	1	0	1	1	0	1
bankroet	go	0	0	0	0	0	0	1	0	0
rondtrekkenden	make	0	0	0	1	0	0	1	0	0
verjaringstermijnen	help	1	1	0	1	0	1	1	1	0
Blanc-tunnel	accompany	1	1	1	1	1	1	1	1	1
ruilhandel	be	0	1	0	0	0	0	1	0	1
zegetocht	progress	1	1	0	1	1	1	1	0	1
mateloze	blind	0	0	-1	-1	0	1	1	0	0
doorbetaalde	pay	0	0	-1	0	0	-1	1	0	-1
zocht	look	0	1	1	0	0	0	1	0	1
verslag-Bosseli	state	0	1	1	1	0	1	1	0	0
langetermijnmaatregelen	measure	0	1	0	0	0	0	1	0	1
raffinaderijen	refine	0	1	0	1	1	1	1	0	1
tweestrijd	be	0	1	0	0	0	0	1	0	1
koleninstallaties	aim	0	0	0	1	1	0	1	0	1
platenmaatschappijen	record	1	1	1	1	1	1	1	0	1
medebeslissingsprogramma	subject	0	0	1	1	0	1	1	0	1
buurten	suggest	1	1	1	1	0	1	1	0	1
louterend	have	1	1	1	0	0	1	1	0	1
Nano	heed	0	-1	-1	-1	0	1	1	0	1
Nana	be	0	1	0	0	0	0	1	0	1
voedseltekorten	lack	0	0	0	0	-1	1	1	0	-1
fosfaatvrij	work	1	1	1	1	0	1	1	0	1
ontwrichtingen	create	1	1	0	1	1	1	1	0	0
unionistische	express	-1	0	0	0	1	0	1	0	0
sportwedstrijden	sport	1	0	1	1	1	1	1	0	1
uitgooit	push	0	0	-1	-1	0	1	1	-1	0
humanitairehulp	aid	1	1	1	1	0	1	1	1	1
obstakel	block	0	0	-1	-1	0	1	1	0	-1
defensiestructuur	delay	-1	0	-1	-1	-1	0	1	0	-1
programmabudget	propose	0	1	1	1	0	0	1	0	1
ontwerp-wetgeving	draft	1	1	1	1	1	1	1	0	1
begunstiging	market	0	0	0	1	1	1	1	0	1
tabaktelers	move	0	0	0	1	0	1	1	0	0
Llewellyn	say	0	0	0	0	0	0	1	0	0
aanmatigend	be	0	1	0	0	0	0	1	0	1
verhittingsproces	process	0	0	1	1	1	1	1	0	0
volksgezondheidsgebied	field	0	0	1	1	1	1	1	0	0
werkscheppende	create	1	1	0	1	1	1	1	0	0
parlementsverkiezing	be	0	1	0	0	0	0	1	0	1
telecomdiensten	do	1	1	1	0	0	1	1	0	1
landschappelijke	reside	0	1	1	1	1	1	1	0	1
slachterijen	be	0	1	0	0	0	0	1	0	1
bezetting	occupy	0	0	0	0	1	1	1	0	1
opofferden	sacrifice	1	0	1	-1	-1	1	1	0	0
bedrijfsniveau	level	0	1	1	1	1	0	1	0	1
budgetting	be	0	1	0	0	0	0	1	0	1
omnibusverordeningen	give	0	1	1	0	0	0	1	0	1
rigide	stone	0	0	0	-1	0	1	1	0	1
vertragingsacties	delay	-1	0	-1	-1	-1	0	1	0	-1
incongruentie	represent	0	1	0	1	0	1	1	0	0
beroepsopleidingsplaats	do	1	1	1	0	0	1	1	0	1
hoogspanningsleidingen	line	0	0	0	0	1	0	1	0	1
veiligheidsarchitectuur	serve	1	1	1	1	1	1	1	0	1
onverhoopte	represent	0	1	0	1	0	1	1	0	0
nutsdiensten	time	0	0	1	0	1	0	1	0	1
Tobinbelasting	tax	0	0	1	1	1	0	1	0	1
hotdogs	eat	0	1	1	-1	1	1	1	0	1
samengesmeed	bring	0	0	1	1	0	0	1	0	0
vermoede	suspect	-1	0	-1	0	-1	-1	1	0	-1
deed,	highlight	1	1	1	1	0	1	1	0	1
Ghazzawi	aspire	1	1	1	1	1	1	1	0	1
Polo	sort	0	0	0	1	0	1	1	0	0
ITER-project	project	0	0	1	1	1	1	1	0	1
Ohrid	do	1	1	1	0	0	1	1	0	1
Poli	do	1	1	1	0	0	1	1	0	1
veiligheidspolitieke	grip	0	0	0	0	0	1	1	0	0
cementprijzen	be	0	1	0	0	0	0	1	0	1
Justitie	rule	1	1	1	1	1	1	1	0	1
literatuuropgave	edit	0	0	1	1	1	1	1	0	1
handelsdoeleinden	trade	0	1	1	1	1	1	1	0	1
exorbitant	be	0	1	0	0	0	0	1	0	1
bende	group	0	0	0	1	1	0	1	0	1
aandelenkoersen	price	0	0	1	1	1	0	1	0	1
beschreven	describe	0	0	0	1	0	0	1	0	1
sportactiviteiten	sport	1	0	1	1	1	1	1	0	1
BMB	write	1	1	1	1	1	1	1	0	1
bevoorrechting	restore	1	1	1	1	0	1	1	1	1
cultuurwaarden	value	1	1	1	1	0	1	1	1	1
visumliberalisering	travel	1	1	1	0	1	0	1	0	1
globalisme	build	1	1	1	1	1	1	1	0	1
werkbijeenkomst	work	1	1	1	1	0	1	1	0	1
BMW	knock	0	-1	-1	-1	0	1	0	-1	0
uitgezonderd	exempt	0	0	-1	-1	0	0	1	0	0
hangijzer	issue	0	0	0	1	0	1	1	0	0
daverend	complete	1	1	1	1	1	1	1	0	1
9,5%	make	0	0	0	1	0	0	1	0	0
evenrediger	fund	1	1	1	1	1	1	1	0	1
niet-joden	be	0	1	0	0	0	0	1	0	1
Dankzij	enable	1	1	0	1	1	1	1	1	0
ECE	map	0	0	0	0	0	1	1	0	1
Iedereen	control	1	0	1	0	1	1	1	0	1
verslag-Mikko	report	0	0	-1	1	0	0	1	0	-1
dienstengebied	field	0	0	1	1	1	1	1	0	0
openbare-omroepdiensten	satisfy	1	1	0	1	0	1	1	1	1
9,59	support	1	1	1	1	0	1	1	1	1
onbehoorlijk	picture	0	0	0	0	0	1	1	0	0
verslag-Papayannakis	report	0	0	-1	1	0	0	1	0	-1
IMF-krediet	credit	1	0	1	1	1	1	1	1	1
voortzet	continue	1	1	1	1	1	0	1	0	1
Volvo-fabriek	grant	0	0	1	1	0	1	1	0	1
voorgevoelens	have	1	1	1	0	0	1	1	0	1
koelwatersysteem	deal	0	0	0	0	0	0	0	0	0
inschrijvers	guarantee	1	1	1	1	1	1	1	1	1
beteugelen	curb	0	0	0	-1	0	1	1	0	0
gêne	have	1	1	1	0	0	1	1	0	1
trialooggesprekken	forge	1	1	1	1	1	1	1	0	1
Auteroche	speak	1	1	1	1	1	1	1	0	1
klachtenregister	register	1	0	1	0	1	1	1	0	0
gehuurde	rent	1	1	1	1	1	1	1	0	1
tv-beelden	picture	0	0	0	0	0	1	1	0	0
zaken.	issue	0	0	0	1	0	1	1	0	0
Boeroendi	emerge	1	1	0	0	0	1	1	0	1
vuurwapen	fall	0	0	0	-1	-1	0	1	0	-1
wapencontrole	control	1	0	1	0	1	1	1	0	1
vliegtuig	air	0	0	0	-1	0	1	0	0	0
saneringsbeleid	fail	0	0	-1	-1	-1	0	1	-1	-1
basispakket	package	0	0	0	1	1	0	1	0	1
tegendraads	count	0	0	1	1	1	1	1	0	1
uitspringt	star	1	1	1	1	1	1	1	0	1
gestorte	upgrade	0	0	0	1	1	1	1	0	1
embryo's	question	0	0	1	1	1	1	1	0	1
970	reveal	0	0	0	1	0	1	1	0	0
bodemverontreiniging	grind	0	0	0	-1	0	0	1	0	1
geweldloosheid	force	0	0	0	-1	0	1	0	-1	0
terechtwijzing	give	0	1	1	0	0	0	1	0	1
productiviteitsstijgingen	gain	1	1	1	1	1	1	1	0	1
afvalstoffenbeleid	waste	0	-1	0	-1	-1	1	1	0	-1
financieringstekort	finance	1	1	1	1	1	1	1	0	1
frustrerende	frustrate	0	-1	0	-1	0	1	0	-1	0
monoloog	be	0	1	0	0	0	0	1	0	1
waargenomen	observe	1	1	1	1	0	1	1	0	1
afschrikwekkende	act	0	0	0	0	0	0	1	0	0
wegglijden	slip	0	0	0	0	0	0	1	0	0
consult	see	1	1	1	1	1	1	1	0	1
sympathiek	appeal	0	0	-1	-1	-1	1	1	0	0
follow-ups	prevent	0	0	0	-1	0	1	1	-1	0
geregionaliseerd	set	0	0	1	1	1	1	1	0	1
beschermingsmiddelen	provide	1	1	1	1	1	1	1	0	1
vernuft	lead	0	1	1	1	1	0	1	0	1
kwalificatie-eisen	demand	0	0	1	1	0	1	1	0	1
handelssystemen	trade	0	1	1	1	1	1	1	0	1
waarschuwingsetiketten	label	0	0	0	0	0	1	0	0	0
millennium-ontwikkelingsdoelstellingen	meet	0	1	1	1	1	1	1	0	1
dingen	point	0	0	0	0	1	0	1	0	0
OESO-verslag	report	0	0	-1	1	0	0	1	0	-1
Kabylië	take	1	1	1	0	1	1	1	0	1
ranch	go	0	0	0	0	0	0	1	0	0
meent	believe	0	0	1	1	0	1	1	1	1
Lid-staten	go	0	0	0	0	0	0	1	0	0
zonnetje	try	0	1	1	0	1	1	1	0	0
Kongolese	term	1	1	0	1	1	1	0	0	0
Donnay	prepare	1	1	1	1	1	1	1	1	1
verdragstekst	draft	1	1	1	1	1	1	1	0	1
gedachtevorming	think	0	0	1	1	1	1	1	1	0
haalbaarheidsverslag	report	0	0	-1	1	0	0	1	0	-1
voorkom	stop	0	0	0	-1	1	1	1	-1	0
Ruimtebeleid	be	0	1	0	0	0	0	1	0	1
langetermijnzorg	care	1	1	1	1	0	1	1	0	1
langetermijnoplossing	term	1	1	0	1	1	1	0	0	0
33.000	be	0	1	0	0	0	0	1	0	1
Lichtenberger	show	1	1	1	0	1	0	1	0	0
Kyoto	change	0	1	0	1	0	1	1	0	1
analoge	switch	0	0	0	0	0	0	1	0	0
Facultatief	state	0	1	1	1	0	1	1	0	0
informatiedeling	set	0	0	1	1	1	1	1	0	1
tv-zender	channel	0	0	0	0	0	0	1	0	0
media-autoriteit	monitor	0	1	1	1	1	0	1	0	0
kentekenbewijs	document	0	0	0	0	0	1	1	0	0
reclameruimte	be	0	1	0	0	0	0	1	0	1
holistisch	focus	1	1	1	1	0	1	1	0	1
daagden	challenge	0	1	-1	-1	1	1	1	-1	0
kwaliteitseis	give	0	1	1	0	0	0	1	0	1
schaakspel	quit	0	0	-1	-1	0	1	1	0	-1
terug.1	go	0	0	0	0	0	0	1	0	0
resulteren	result	0	0	0	0	1	0	1	0	0
opkoopprijs	purchase	1	1	1	1	1	1	0	0	1
energievoorzieningen	supply	0	0	1	1	1	1	1	0	1
cover	cover	0	0	0	1	1	1	1	0	0
selectiecriteria	select	0	0	1	1	0	1	1	1	1
citroen	squeeze	0	0	1	0	1	1	1	0	1
verscheiden	vary	0	0	1	0	1	0	1	0	0
vragenuurtje	question	0	0	1	1	1	1	1	0	1
Ossetië	secure	0	0	1	1	1	1	1	0	1
zuigelingenmelk	involve	0	0	0	0	1	1	1	0	0
monopolist	be	0	1	0	0	0	0	1	0	1
MOU's	reform	1	1	0	1	0	1	1	0	1
controlemacht	control	1	0	1	0	1	1	1	0	1
onafhankelijke	free	1	1	1	1	1	1	1	1	1
identiteitsbewijs	document	0	0	0	0	0	1	1	0	0
uitwerkten	work	1	1	1	1	0	1	1	0	1
korst	end	0	1	0	0	1	0	1	0	0
spoedgevallen	sleep	0	1	0	0	1	1	1	0	1
Calabrië	do	1	1	1	0	0	1	1	0	1
partijprogramma	position	0	0	0	1	0	1	1	0	0
calamiteit	strike	1	1	0	0	0	1	1	0	0
handelsportefeuille	trade	0	1	1	1	1	1	1	0	1
bastion	lie	0	0	0	0	0	1	1	0	0
Verdragen	down	0	0	0	0	0	0	1	0	0
aanraad	recommend	1	1	1	1	1	1	1	1	1
orgaanverkoop	sell	0	0	0	0	1	1	1	0	1
aanvechtbaar	be	0	1	0	0	0	0	1	0	1
misdaadzaken	aim	0	0	0	1	1	0	1	0	1
Oddy	repeat	0	1	0	1	0	1	1	0	0
hoofdverantwoordelijken	bear	0	0	0	0	1	1	1	0	0
gratis	free	1	1	1	1	1	1	1	1	1
gedicht	close	0	1	1	0	0	1	1	0	1
Echerer	have	1	1	1	0	0	1	1	0	1
opgeteld	add	1	1	1	1	1	0	1	0	1
kredietratingindustrie	credit	1	0	1	1	1	1	1	1	1
sportstructuur	sport	1	0	1	1	1	1	1	0	1
gratie	pardon	1	1	1	1	0	1	1	1	1
inventariseren	take	1	1	1	0	1	1	1	0	1
Pereiro	respond	0	1	0	0	0	1	1	0	1
Pereira	report	0	0	-1	1	0	0	1	0	-1
eruit	be	0	1	0	0	0	0	1	0	1
waarmerk	seal	0	0	0	1	0	1	0	0	0
eigendomsoverdracht	transfer	0	0	0	0	0	1	1	0	0
gelijktijdigheid	shoulder	0	0	0	0	0	1	1	0	1
geëerde	support	1	1	1	1	0	1	1	1	1
transportafstanden	distance	0	0	0	0	0	1	1	0	0
schoonmaakkosten	bear	0	0	0	0	1	1	1	0	0
investeringsbescherming	play	1	1	1	1	1	1	1	0	1
obscure	obscure	0	0	0	1	0	1	1	0	0
hulpverleningsproces	process	0	0	1	1	1	1	1	0	0
scheepsregister	register	1	0	1	0	1	1	1	0	0
instituten	institute	1	1	1	1	1	1	1	0	1
neergeschreven	write	1	1	1	1	1	1	1	0	1
Fox	meet	0	1	1	1	1	1	1	0	1
sex	be	0	1	0	0	0	0	1	0	1
trofeejacht	hunt	0	1	1	1	1	1	1	-1	1
wrok	lead	0	1	1	1	1	0	1	0	1
see	see	1	1	1	1	1	1	1	0	1
nieuweling	have	1	1	1	0	0	1	1	0	1
Uma	prompt	1	1	1	1	1	1	1	1	1
oudedagsvoorzieningen	age	0	0	0	-1	0	1	1	0	0
euro's	amount	0	0	0	1	0	0	1	0	0
verstuurde	send	1	1	1	0	1	1	1	0	1
durende	last	0	0	0	0	0	-1	-1	0	0
indruisen	be	0	1	0	0	0	0	1	0	1
dieven	steal	0	0	-1	-1	1	1	1	0	1
roofzuchtig	power	1	0	0	0	0	0	1	0	1
productief	become	0	0	0	0	0	0	1	0	0
verslag-Eriksson	report	0	0	-1	1	0	0	1	0	-1
euromediterraan	open	1	1	1	1	0	0	1	0	1
hooggekwalificeerd	qualify	1	1	0	1	0	1	1	1	0
spaarrekening	enter	1	1	1	0	1	1	1	0	1
producties	work	1	1	1	1	0	1	1	0	1
vuilstortplaats	dump	0	-1	0	-1	1	0	0	-1	1
aansprakelijkheidsregelingen	rule	1	1	1	1	1	1	1	0	1
artsen-in-opleiding	train	1	1	1	1	1	1	1	1	1
onopvallend	go	0	0	0	0	0	0	1	0	0
kindermisbruikers	be	0	1	0	0	0	0	1	0	1
panda-cyclus	account	0	0	0	0	0	1	1	0	0
collega-rapporteurs	help	1	1	0	1	0	1	1	1	0
fundamentalistisch	speak	1	1	1	1	1	1	1	0	1
recherche	police	0	0	0	-1	0	1	1	0	0
13.00	suspend	0	0	-1	-1	0	0	1	0	-1
Biriatou-pas	pass	0	1	0	0	0	1	1	0	0
Vooruitzicht	accord	1	0	0	1	0	1	1	0	1
thuiskom	go	0	0	0	0	0	0	1	0	0
zachte	smooth	0	0	0	1	0	1	1	0	0
afgekalfd	reduce	0	0	0	-1	1	1	1	-1	0
postvakjes	photograph	0	1	0	0	0	1	1	0	1
financieel	finance	1	1	1	1	1	1	1	0	1
drugstoerisme	attempt	0	0	1	0	1	0	1	0	0
categorieën	group	0	0	0	1	1	0	1	0	1
preferentiestelsel	apply	0	1	1	1	1	1	1	0	1
geconcludeerd	conclude	1	1	1	1	0	1	1	0	1
wisselkoerstransacties	exchange	0	0	1	0	1	0	1	0	0
conflictoplossing	conflict	0	0	0	-1	0	1	1	0	0
dumpingprijzen	price	0	0	1	1	1	0	1	0	1
wondermiddelen	cure	0	1	0	1	0	1	1	0	1
hoofdschotel	challenge	0	1	-1	-1	1	1	1	-1	0
decennium	crumble	0	-1	0	-1	0	0	0	0	0
reclame-	carry	0	1	1	0	0	1	1	0	0
website-adres	address	1	1	0	1	1	1	1	0	1
schenkt	be	0	1	0	0	0	0	1	0	1
verslag-Piétrasanta	report	0	0	-1	1	0	0	1	0	-1
watergebrek	water	0	-1	0	-1	0	1	1	0	1
vervaging	blur	0	0	0	-1	0	0	0	0	0
kwestie-Iran	issue	0	0	0	1	0	1	1	0	0
opsporingswerk	search	0	0	0	0	0	1	1	0	0
automobilist	urge	1	1	1	1	0	1	1	1	1
stemaandeel	vote	0	0	0	1	1	1	1	0	0
biedt	provide	1	1	1	1	1	1	1	0	1
televisiestation	station	0	0	0	0	1	0	1	0	0
dobbelstenen	load	0	0	0	1	1	0	1	0	0
fund	fund	1	1	1	1	1	1	1	0	1
ziektekosten	cost	0	-1	0	0	0	0	1	-1	0
imperiale	compare	0	0	0	0	0	1	1	0	0
eurokoers	do	1	1	1	0	0	1	1	0	1
prioriteiten	set	0	0	1	1	1	1	1	0	1
omrekenkoersen	rate	0	1	0	1	0	0	1	0	0
prijsbesluiten	price	0	0	1	1	1	0	1	0	1
stadia	stage	0	1	1	1	1	0	1	0	1
sanctiesystemen	sanction	0	-1	-1	-1	0	1	1	0	1
inricht	do	1	1	1	0	0	1	1	0	1
marketingcampagnes	campaign	0	0	1	1	1	1	1	-1	1
vreesden	fear	-1	0	-1	0	-1	0	1	0	-1
olie-exporterende	export	0	0	1	0	1	1	1	0	1
reclames	claim	1	1	1	0	1	1	1	0	1
plukken	benefit	1	1	0	1	1	1	1	1	1
rechtsunie	govern	1	1	1	1	1	1	1	0	1
afvaltransport	waste	0	-1	0	-1	-1	1	1	0	-1
veerdiensten	ferry	0	0	0	1	1	1	0	-1	1
arbeidskostenvermindering	be	0	1	0	0	0	0	1	0	1
Cambodjaanse	enable	1	1	0	1	1	1	1	1	0
bodems	level	0	1	1	1	1	0	1	0	1
Regionaal	amount	0	0	0	1	0	0	1	0	0
decor	picture	0	0	0	0	0	1	1	0	0
groepsbijeenkomsten	meet	0	1	1	1	1	1	1	0	1
shockerende	shock	0	0	0	-1	0	1	-1	-1	0
wetgevingsstrategie	say	0	0	0	0	0	0	1	0	0
dusdanig	make	0	0	0	1	0	0	1	0	0
vernauwd	down	0	0	0	0	0	0	1	0	0
irriterende	be	0	1	0	0	0	0	1	0	1
bekaaid	deal	0	0	0	0	0	0	0	0	0
binnenkomt	come	0	1	0	0	0	0	1	0	0
begrotingsprognoses	forecast	0	0	0	0	0	0	1	0	1
stoffelijk	remain	0	0	0	0	0	0	1	0	0
schiften	sift	0	1	0	1	0	1	1	0	1
overschrijdingsmarges	distance	0	0	0	0	0	1	1	0	0
bouwbedrijf	involve	0	0	0	0	1	1	1	0	0
vlotter	speed	1	1	0	1	0	1	1	0	0
preventiecampagnes	campaign	0	0	1	1	1	1	1	-1	1
stemresultaten	vote	0	0	0	1	1	1	1	0	0
verdord	affect	1	0	0	0	0	1	1	0	0
onfair	be	0	1	0	0	0	0	1	0	1
splijtstofleveranties	fuel	0	0	0	1	1	1	1	0	1
doorgeknipt	cut	0	0	0	-1	0	0	1	0	0
marsen	march	0	0	0	0	0	0	1	0	0
visleven	project	0	0	1	1	1	1	1	0	1
verslag-Eisma	report	0	0	-1	1	0	0	1	0	-1
zaaiwikke	aid	1	1	1	1	0	1	1	1	1
roulatiesysteem	rotate	0	0	0	0	0	1	1	0	0
Rath	have	1	1	1	0	0	1	1	0	1
wegkrijgen	put	1	1	1	0	1	1	1	0	1
besnoeiingsoperatie	do	1	1	1	0	0	1	1	0	1
hobbel	negotiate	1	1	1	1	1	1	1	0	1
cabotagemogelijkheden	be	0	1	0	0	0	0	1	0	1
omlijnde	define	0	0	0	1	1	1	1	0	0
autolobby	lobby	0	0	1	1	1	1	1	0	1
champagnekurken	pop	0	0	0	1	0	1	1	0	1
mijnerzijds	comment	0	0	0	0	0	1	1	0	1
extreems	follow	0	0	1	1	1	1	1	0	1
productieorganisaties	fail	0	0	-1	-1	-1	0	1	-1	-1
bourgeoisieregeringen	farm	0	1	1	1	1	1	1	0	1
concurrentievraagstukken	issue	0	0	0	1	0	1	1	0	0
ontluikt	emerge	1	1	0	0	0	1	1	0	1
waardevermindering	value	1	1	1	1	0	1	1	1	1
Golfe	net	0	0	1	0	0	1	1	0	1
technisch-nautische	feel	1	1	1	0	0	0	1	0	1
veroudering	age	0	0	0	-1	0	1	1	0	0
Tsjecho-Slowakije	invade	0	0	0	-1	1	1	1	-1	1
energieën	form	1	1	1	1	1	1	1	0	1
inventieve	deploy	0	0	0	0	1	1	1	0	1
bestuurssamenstelling	board	0	0	1	0	1	1	1	0	1
coördinatie-instantie	satisfy	1	1	0	1	0	1	1	1	1
Niet-ingeschrevenen	make	0	0	0	1	0	0	1	0	0
plotseling	be	0	1	0	0	0	0	1	0	1
gerenoveerde	renovate	1	1	1	1	1	1	1	0	1
verderkomen	make	0	0	0	1	0	0	1	0	0
werelddeel	own	0	1	1	1	1	1	1	0	1
elanden	time	0	0	1	0	1	0	1	0	1
concurrentievoorsprong	edge	0	0	0	0	0	0	1	0	0
procedurefouten	be	0	1	0	0	0	0	1	0	1
veiligheidscultuur	institute	1	1	1	1	1	1	1	0	1
actieprogramma's	plan	1	1	1	1	1	1	1	0	1
Gorbatsjov	draw	0	0	1	1	1	1	0	0	0
ontduiken	evade	-1	0	-1	-1	1	-1	1	-1	1
aanloopcampagne	campaign	0	0	1	1	1	1	1	-1	1
EU-Commissie	term	1	1	0	1	1	1	0	0	0
landbouwgedeelte	comment	0	0	0	0	0	1	1	0	1
hervormingsgezinde	reform	1	1	0	1	0	1	1	0	1
Rheinmetall	profit	1	0	1	0	1	1	1	0	1
kwaliteitsnormen	level	0	1	1	1	1	0	1	0	1
DEM	term	1	1	0	1	1	1	0	0	0
haalbaar	be	0	1	0	0	0	0	1	0	1
Karamanou	can	0	0	0	0	0	1	1	0	1
karikaturaal	caricature	0	0	0	1	0	1	1	0	0
ENB-partnerlanden	intend	0	0	0	1	0	1	1	0	1
studiejaar	be	0	1	0	0	0	0	1	0	1
haastige	hurry	0	0	1	1	0	0	1	0	1
marktrente	market	0	0	0	1	1	1	1	0	1
EU-kaderprogramma	feature	1	1	1	1	1	1	1	1	1
symptoom	sign	0	0	1	1	1	1	1	0	1
inslapen	prove	0	0	0	1	0	1	1	0	1
toeken	group	0	0	0	1	1	0	1	0	1
vitale	live	1	1	1	1	1	1	1	0	1
tankers	phase	0	0	0	1	1	0	1	0	0
honderddertig	mutilate	0	-1	-1	-1	0	1	0	-1	0
Gezien	give	0	1	1	0	0	0	1	0	1
begrotingcontrole	regulate	0	0	0	0	1	1	1	0	1
waarschuwing	warn	0	1	0	1	0	1	1	0	0
volgen	follow	0	0	1	1	1	1	1	0	1
volger	have	1	1	1	0	0	1	1	0	1
groepsdwang	pressure	0	0	0	-1	0	0	1	-1	0
teeltwijze	farm	0	1	1	1	1	1	1	0	1
publikatie	publish	1	1	1	1	1	1	1	0	1
benoemingsproces	process	0	0	1	1	1	1	1	0	0
registratieprocedure	process	0	0	1	1	1	1	1	0	0
visdag	net	0	0	1	0	0	1	1	0	1
invoerrecht	mention	0	1	0	0	0	1	1	0	0
graantje	share	1	1	1	0	1	1	1	0	1
uitwijzingen	have	1	1	1	0	0	1	1	0	1
vanmorgen	look	0	1	1	0	0	0	1	0	1
immigratiestromen	flow	0	0	0	0	0	0	1	0	0
paspoortcontrole	control	1	0	1	0	1	1	1	0	1
Rigel	be	0	1	0	0	0	0	1	0	1
ACS	group	0	0	0	1	1	0	1	0	1
vaak	be	0	1	0	0	0	0	1	0	1
vaag	term	1	1	0	1	1	1	0	0	0
vermogensbeheerbedrijven	reveal	0	0	0	1	0	1	1	0	0
ernstigere	cause	-1	-1	0	0	0	-1	0	0	0
onderzoeksplaatsen	post	0	1	1	1	0	1	1	0	1
beveiligingssysteem	do	1	1	1	0	0	1	1	0	1
coördinatie-	coordinate	0	0	0	1	0	-1	0	0	0
dierentuinen	park	0	0	0	0	0	1	1	0	1
diepte	develop	0	1	0	1	0	0	1	0	0
vogels	cover	0	0	0	1	1	1	1	0	0
vlogen	be	0	1	0	0	0	0	1	0	1
achteruitkijkspiegels	mirror	0	0	0	1	0	1	1	0	0
afvalproductie	waste	0	-1	0	-1	-1	1	1	0	-1
deelnemingsmogelijkheden	process	0	0	1	1	1	1	1	0	0
reisadviezen	travel	1	1	1	0	1	0	1	0	1
wisselen	exchange	0	0	1	0	1	0	1	0	0
studieverlof	break	0	0	-1	-1	1	1	1	0	1
vergunningsaanvraag	apply	0	1	1	1	1	1	1	0	1
trapten	criticize	-1	0	-1	-1	0	0	1	-1	-1
STOA-panel	authorize	1	1	1	1	1	1	1	0	1
veiligheidsgevoel	sense	0	0	0	0	1	0	1	0	0
faam	advance	0	1	1	1	1	0	1	0	1
geluidsheffingssystemen	charge	-1	0	0	-1	1	1	1	-1	1
neerkijkt	be	0	1	0	0	0	0	1	0	1
conventionele	compare	0	0	0	0	0	1	1	0	0
Zver	go	0	0	0	0	0	0	1	0	0
coördinaties	last	0	0	0	0	0	-1	-1	0	0
Britt	allow	1	1	1	1	0	1	1	1	1
Prodi	say	0	0	0	0	0	0	1	0	0
Brits	say	0	0	0	0	0	0	1	0	0
werknemers	work	1	1	1	1	0	1	1	0	1
televisie	screen	0	0	0	0	0	1	1	0	1
profiterende	enable	1	1	0	1	1	1	1	1	0
vredesconferentie	line	0	0	0	0	1	0	1	0	1
prijsadvertenties	indulge	0	-1	1	1	0	1	1	0	1
omrekeningskoers	rate	0	1	0	1	0	0	1	0	0
boerenerf	farm	0	1	1	1	1	1	1	0	1
1.200	want	1	0	1	0	0	1	1	0	1
adviesnota	note	0	0	0	0	0	0	1	0	0
verwelkom	welcome	1	1	1	1	1	1	1	1	1
monstrueuze	shoulder	0	0	0	0	0	1	1	0	1
stadions	ground	0	0	1	1	1	1	1	0	1
belasting	tax	0	0	1	1	1	0	1	0	1
